0,7.74561
3.63636364,7.71476
7.27272727,7.6839
10.90909091,7.65305
14.54545455,7.6222
18.18181818,7.59134
21.81818182,7.56049
25.45454545,7.52963
29.09090909,7.49878
32.72727273,7.46792
36.36363636,7.43707
40,7.40622
43.63636364,7.37536
47.27272727,7.34451
50.90909091,7.31365
54.54545455,7.2828
58.18181818,7.25194
61.81818182,7.22109
65.45454545,7.19024
69.09090909,7.15938
72.72727273,7.12853
76.36363636,7.09767
80,7.06682
83.63636364,7.03596
87.27272727,7.00511
90.90909091,6.97426
94.54545455,6.9434
98.18181818,6.91255
101.81818182,6.88169
105.45454545,6.85084
109.09090909,6.81998
112.72727273,6.78913
116.36363636,6.75828
120,6.72742
123.63636364,6.69657
127.27272727,6.66571
130.90909091,6.63486
134.54545455,6.604
138.18181818,6.57315
141.81818182,6.5423
145.45454545,6.51144
149.09090909,6.48059
152.72727273,6.44973
156.36363636,6.41888
160,6.38802
163.63636364,6.35717
167.27272727,6.32632
170.90909091,6.29546
174.54545455,6.26461
178.18181818,6.23375
181.81818182,6.2029
185.45454545,6.17204
189.09090909,6.14119
192.72727273,6.11034
196.36363636,6.07948
200,6.04863
203.63636364,6.01777
207.27272727,5.98692
210.90909091,5.95606
214.54545455,5.92521
218.18181818,5.89436
221.81818182,5.8635
225.45454545,5.83265
229.09090909,5.80179
232.72727273,5.77094
236.36363636,5.74008
240,5.70923
243.63636364,5.67838
247.27272727,5.64752
250.90909091,5.61667
254.54545455,5.58581
258.18181818,5.55496
261.81818182,5.52411
265.45454545,5.49325
269.09090909,5.4624
272.72727273,5.43154
276.36363636,5.40069
280,5.36983
283.63636364,5.33898
287.27272727,5.30813
290.90909091,5.27727
294.54545455,5.24642
298.18181818,5.21556
301.81818182,5.18471
305.45454545,5.15385
309.09090909,5.123
312.72727273,5.09214
316.36363636,5.06129
320,5.03044
323.63636364,4.99958
327.27272727,4.96873
330.90909091,4.93787
334.54545455,4.90702
338.18181818,4.87616
341.81818182,4.84531
345.45454545,4.81446
349.09090909,4.7836
352.72727273,4.75275
356.36363636,4.72189
360,4.69104
